Label,Sensitivity,Category,Trait,Description
AGE,PII,Personal,Demographics,"Number associated to an age, e.g. 27"
CREDIT_CARD,PCI,Personal,Demographics,"Credit card number, e.g. 0123 0123 0123 0123"
PAYMENT_DATE,PCI,Personal,Demographics,"The date the payment was made"
CREDIT_CARD_EXPIRATION,PCI,Personal,Demographics,E.g. Expires: 2/28
CVV,PCI,Personal,Demographics,"Credit Card Verification Code, e.g. CVV: 080"
DATE,PII,Personal,Demographics,E.g. December 18 or 2011-2014
DOB,PII,Personal,Demographics,"Date Of Birth, e.g. Date of Birth: March 7,1961"
EMAIL_ADDRESS,PII, Personal,Demographics,Email address of the customer E.g. info@private-ai.ca
EVENT,GENERAL,Temporal,Behavioral,E.g. Olympics
FILENAME,GENERAL,Temporal,Behavioral,"Name of a computer file, e.g., brad_tax_returns.txt, koalabear.jpg"
ADDRESS,PII,Personal,Demographics,"Home or office  address"
ADDRESS2,PII,Personal,Demographics,"Second Line of customer Address"
IP_ADDRESS,PII,Location,Behavioral, "Internet IP address, e.g. 192.168.0.1"
LANGUAGE,GENERAL,Generic,Behavioral, "E.g. English, French"
LOCATION,PII,Location,Behavioral,"E.g. Eritrea, Italy"
MONEY,GENERAL,Generic,Behavioral,"E.g. 15 dollars, $94.50"
NAME,PII,Personal,Demographics,"Person name, e.g. Harry Potter, Dwayne Johnson"
FIRST_NAME,PII,Personal,Demographics,"Person first name, e.g. Harry , Dwayne "
LAST_NAME,PII,Personal,Demographics,"Person last name name, e.g. Potter, Johnson"
NUMERICAL_PII,PII,Generic,Demographics,"Numeric PII that does not fall into other categories or that the model is uncertain about"
ORGANIZATION,GENERAL,Personal,Demographics,"E.g. BHP, McDonalds"
OCCUPATION,GENERAL,Personal,Demographics,"E.g. professor, actors, engineer, MBA, CPA"
ORIGIN,GENERAL,Generic,Demographics,"Origin encompasses nationalities, ethnicities, and races. E.g., Canadian, american, caucasia"
PHONE_NUMBER,PII,Personal,Demographics,E.g. +4917643476050
PHONE,PII,Personal,Demographics,E.g. +4917643476050
POSTAL_CODE,PII,Personal,Demographics,"Zip code or postal code of where a customer lives or works"
ZIP_CODE,PII,Personal,Demographics,"Zip code or postal code of where a customer lives or works"
RELIGION,GENERAL,Generic,Demographics,E.g. Hindu
SSN,PII,Personal,Demographics,"Social Security Number, e.g. 078-05-1120"
TIME,GENERAL,Generic,Behavioral,E.g. 19:37:28
URL,GENERAL,Generic,Behavioral,"Internet URL, e.g. www.private-ai.ca"
USERNAME,PII,Personal,Demographics,"User name or handle, e.g. privateairocks, @_PrivateAI"
ZODIAC_SIGN,GENERAL,Generic,Behavioral,E.g. Aquarius
BLOOD_TYPE,PHI,Personal,Demographics,"Blood type, e.g., O-"
CONDITION,PHI,Personal,Demographics,"A medical condition. Includes diseases, syndromes, deficits, disorders. E.g., chronic fatigue syndrome, arrhythmia, depression."
DRUG,PHI,Personal,Demographics,"Medical drug, including vitamins and minerals. E.g., Advil, Acetaminophen, Panadol"
INJURY,PHI,Personal,Demographics,"Human injury, e.g., I broke my arm, I have a sprained wrist. Includes mutations, miscarriages and dislocations."
MEDICAL_PROCESS,PHI,Personal,Demographics,"Medical process, including treatments, procedures and tests. E.g., ‘heart surgery’, ‘CT scan’."
AWARD,GENERAL,Personal,Demographics, E.g. Nobel Prize
HEALTHCARE_NUMBER,PII, Personal,Demographics,"Healthcare number, e.g. 5584-486-674-YM"
CUSTOMER_ID,PII,Personal,Demographics,"Unique ID within system that can be attributed back to a customer"
CUSTOMER_IDENTIFICATION,PII,Personal,Demographics,"E.g. Social Security Number or Passport number or driver’s license number, e.g. D6101-40706-60905"
PASSWORD,PII, Personal,Demographics,E.g. secret_password
PHYSICAL_ATTRIBUTE,PII, Personal,Demographics,"A body attribute, e.g. I’m 190cm tall. i.e. height, weight, or any other body part measurement of a customer"
POLITICAL_AFFILIATION,PII, Personal,Demographics,"E.g. Democrat, Republican"
PICTURE,PII,Personal,Demographics,"A picture of a person  or product"
